NUTS2	t	0	1	2	3	4	
FR61	30	0.0089628681	0.0268886044	0.9564660691	0	0.0076824584
FR62	30	0.0371702638	0.0179856115	0.9364508393	0	0.0083932854
FR71	30	0.0153846154	0.0402930403	0.9362637363	0.0021978022	0.0058608059
FR72	30	0.0254545455	0.0109090909	0.96	0	0.0036363636
FR81	30	0.0123839009	0.0433436533	0.9349845201	0	0.0092879257
FR82	30	0.0433504776	0.0705363703	0.8736223365	0.0007347539	0.0117560617
FR10	33	0.0373765867	0.0299717913	0.9199576869	0.0017630465	0.0109308886
FR21	33	0.0115830116	0.0347490347	0.9382239382	0.0077220077	0.0077220077
FR24	33	0.0152466368	0.0376681614	0.9237668161	0.0035874439	0.0197309417
FR26	33	0.0404699739	0.0757180157	0.8785900783	0.0026109661	0.0026109661
FR30	33	0.1460176991	0.0539823009	0.7504424779	0.0123893805	0.0371681416
FR42	33	0.0486486486	0.2108108108	0.7162162162	0.0189189189	0.0054054054
FR51	33	0.0323450135	0.0188679245	0.9447439353	0	0.0040431267
FR52	33	0.0347071584	0.0563991323	0.8893709328	0.0043383948	0.0151843818
FR53	33	0.0108191654	0.0185471406	0.9582689335	0.0015455951	0.0108191654
FR61	33	0.0201342282	0.0302013423	0.9351230425	0.0055928412	0.0089485459
FR62	33	0.0053956835	0.023381295	0.9658273381	0	0.0053956835
FR71	33	0.0333575054	0.0580130529	0.8984771574	0.0014503263	0.0087019579
FR72	33	0.0255905512	0.061023622	0.8877952756	0	0.0255905512
FR81	33	0.0500532481	0.0298189563	0.9030883919	0.0021299255	0.0149094782
FR82	33	0.038647343	0.0499194847	0.9025764895	0.0032206119	0.0056360709
FR10	36	0.03673864	0.0431840155	0.9091202063	0.0016113439	0.0093457944
FR21	36	0.033383915	0.0409711684	0.9119878604	0.004552352	0.0091047041
FR24	36	0.0191317145	0.0419426049	0.9315673289	0.0007358352	0.0066225166
FR26	36	0.0356506239	0.0570409982	0.8948306595	0.0071301248	0.0053475936
FR30	36	0.181294964	0.0474820144	0.7467625899	0.0035971223	0.0208633094
FR42	36	0.0257104195	0.2679296346	0.6928281461	0.00135318	0.0121786198
FR51	36	0.0128424658	0.0342465753	0.9349315068	0.0025684932	0.0154109589
FR52	36	0.0482897384	0.0241448692	0.9175050302	0.0040241449	0.0060362173
FR53	36	0.011190234	0.013224822	0.9694811801	0.001017294	0.00508647
FR61	36	0.0090984285	0.0454921423	0.9305210918	0.0016542597	0.0132340778
FR62	36	0.0151057402	0.0342396777	0.9335347432	0.003021148	0.0140986908
FR71	36	0.0216894977	0.0433789954	0.921803653	0.0011415525	0.0119863014
FR72	36	0.0088888889	0.0251851852	0.96	0	0.0059259259
FR81	36	0.0221483942	0.0487264673	0.9147286822	0.0044296788	0.0099667774
FR82	36	0.0345125108	0.0655737705	0.8904227783	0.0017256255	0.0077653149
FR10	42	0.0354722997	0.057791949	0.8923874053	0.0019928258	0.0123555201
FR21	42	0.0543478261	0.0446859903	0.8780193237	0.0144927536	0.0084541063
FR24	42	0.0211864407	0.0434322034	0.9279661017	0.0042372881	0.0031779661
FR26	42	0.0273972603	0.0496575342	0.9092465753	0.0034246575	0.0102739726
FR30	42	0.1697944593	0.0232350313	0.781948168	0.0134048257	0.0116175156
FR42	42	0.0274914089	0.2250859107	0.7285223368	0.0154639175	0.0034364261
FR51	42	0.0235690236	0.0395622896	0.9318181818	0.0008417508	0.0042087542
